,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
7102,7103,A measly twenty athletes greeted us at the door.,A measly twenty athletes greeted us at the door,A measly twenty athletes,twenty measly athletes,measly twenty an athletes,twenty measly athletes,twenty an athletes,measly an athletes
7103,7104,A measly twenty pianists greeted us at the door.,A measly twenty pianists greeted us at the door,A measly twenty pianists,twenty measly pianists,measly twenty a pianists,twenty measly pianists,twenty a pianists,measly a pianists
7104,7105,A measly twenty teammates greeted us at the door.,A measly twenty teammates greeted us at the door,A measly twenty teammates,twenty measly teammates,measly twenty a teammates,twenty measly teammates,twenty a teammates,measly a teammates
7105,7106,A measly twenty lawyers greeted us at the door.,A measly twenty lawyers greeted us at the door,A measly twenty lawyers,twenty measly lawyers,measly twenty a lawyers,twenty measly lawyers,twenty a lawyers,measly a lawyers
7106,7107,A measly twenty doctors greeted us at the door.,A measly twenty doctors greeted us at the door,A measly twenty doctors,twenty measly doctors,measly twenty a doctors,twenty measly doctors,twenty a doctors,measly a doctors
7107,7108,A measly twenty actors greeted us at the door.,A measly twenty actors greeted us at the door,A measly twenty actors,twenty measly actors,measly twenty an actors,twenty measly actors,twenty an actors,measly an actors
7108,7109,A measly twenty Americans greeted us at the door.,A measly twenty Americans greeted us at the door,A measly twenty Americans,twenty measly Americans,measly twenty an Americans,twenty measly Americans,twenty an Americans,measly an Americans
7109,7110,A measly twenty bankers greeted us at the door.,A measly twenty bankers greeted us at the door,A measly twenty bankers,twenty measly bankers,measly twenty a bankers,twenty measly bankers,twenty a bankers,measly a bankers
7110,7111,A substantial three soldiers greeted us at the door.,A substantial three soldiers greeted us at the door,A substantial three soldiers,three substantial soldiers,substantial three a soldiers,three substantial soldiers,three a soldiers,substantial a soldiers
7111,7112,A substantial three students greeted us at the door.,A substantial three students greeted us at the door,A substantial three students,three substantial students,substantial three a students,three substantial students,three a students,substantial a students
7112,7113,A substantial three athletes greeted us at the door.,A substantial three athletes greeted us at the door,A substantial three athletes,three substantial athletes,substantial three an athletes,three substantial athletes,three an athletes,substantial an athletes
7113,7114,A substantial three pianists greeted us at the door.,A substantial three pianists greeted us at the door,A substantial three pianists,three substantial pianists,substantial three a pianists,three substantial pianists,three a pianists,substantial a pianists
7114,7115,A substantial three teammates greeted us at the door.,A substantial three teammates greeted us at the door,A substantial three teammates,three substantial teammates,substantial three a teammates,three substantial teammates,three a teammates,substantial a teammates
7115,7116,A substantial three lawyers greeted us at the door.,A substantial three lawyers greeted us at the door,A substantial three lawyers,three substantial lawyers,substantial three a lawyers,three substantial lawyers,three a lawyers,substantial a lawyers
7116,7117,A substantial three doctors greeted us at the door.,A substantial three doctors greeted us at the door,A substantial three doctors,three substantial doctors,substantial three a doctors,three substantial doctors,three a doctors,substantial a doctors
7117,7118,A substantial three actors greeted us at the door.,A substantial three actors greeted us at the door,A substantial three actors,three substantial actors,substantial three an actors,three substantial actors,three an actors,substantial an actors
7118,7119,A substantial three Americans greeted us at the door.,A substantial three Americans greeted us at the door,A substantial three Americans,three substantial Americans,substantial three an Americans,three substantial Americans,three an Americans,substantial an Americans
7119,7120,A substantial three bankers greeted us at the door.,A substantial three bankers greeted us at the door,A substantial three bankers,three substantial bankers,substantial three a bankers,three substantial bankers,three a bankers,substantial a bankers
7120,7121,A substantial five soldiers greeted us at the door.,A substantial five soldiers greeted us at the door,A substantial five soldiers,five substantial soldiers,substantial five a soldiers,five substantial soldiers,five a soldiers,substantial a soldiers
7121,7122,A substantial five students greeted us at the door.,A substantial five students greeted us at the door,A substantial five students,five substantial students,substantial five a students,five substantial students,five a students,substantial a students
7122,7123,A substantial five athletes greeted us at the door.,A substantial five athletes greeted us at the door,A substantial five athletes,five substantial athletes,substantial five an athletes,five substantial athletes,five an athletes,substantial an athletes
7123,7124,A substantial five pianists greeted us at the door.,A substantial five pianists greeted us at the door,A substantial five pianists,five substantial pianists,substantial five a pianists,five substantial pianists,five a pianists,substantial a pianists
7124,7125,A substantial five teammates greeted us at the door.,A substantial five teammates greeted us at the door,A substantial five teammates,five substantial teammates,substantial five a teammates,five substantial teammates,five a teammates,substantial a teammates
7125,7126,A substantial five lawyers greeted us at the door.,A substantial five lawyers greeted us at the door,A substantial five lawyers,five substantial lawyers,substantial five a lawyers,five substantial lawyers,five a lawyers,substantial a lawyers
7126,7127,A substantial five doctors greeted us at the door.,A substantial five doctors greeted us at the door,A substantial five doctors,five substantial doctors,substantial five a doctors,five substantial doctors,five a doctors,substantial a doctors
7127,7128,A substantial five actors greeted us at the door.,A substantial five actors greeted us at the door,A substantial five actors,five substantial actors,substantial five an actors,five substantial actors,five an actors,substantial an actors
7128,7129,A substantial five Americans greeted us at the door.,A substantial five Americans greeted us at the door,A substantial five Americans,five substantial Americans,substantial five an Americans,five substantial Americans,five an Americans,substantial an Americans
7129,7130,A substantial five bankers greeted us at the door.,A substantial five bankers greeted us at the door,A substantial five bankers,five substantial bankers,substantial five a bankers,five substantial bankers,five a bankers,substantial a bankers
7130,7131,A substantial twenty soldiers greeted us at the door.,A substantial twenty soldiers greeted us at the door,A substantial twenty soldiers,twenty substantial soldiers,substantial twenty a soldiers,twenty substantial soldiers,twenty a soldiers,substantial a soldiers
7131,7132,A substantial twenty students greeted us at the door.,A substantial twenty students greeted us at the door,A substantial twenty students,twenty substantial students,substantial twenty a students,twenty substantial students,twenty a students,substantial a students
7132,7133,A substantial twenty athletes greeted us at the door.,A substantial twenty athletes greeted us at the door,A substantial twenty athletes,twenty substantial athletes,substantial twenty an athletes,twenty substantial athletes,twenty an athletes,substantial an athletes
7133,7134,A substantial twenty pianists greeted us at the door.,A substantial twenty pianists greeted us at the door,A substantial twenty pianists,twenty substantial pianists,substantial twenty a pianists,twenty substantial pianists,twenty a pianists,substantial a pianists
7134,7135,A substantial twenty teammates greeted us at the door.,A substantial twenty teammates greeted us at the door,A substantial twenty teammates,twenty substantial teammates,substantial twenty a teammates,twenty substantial teammates,twenty a teammates,substantial a teammates
