idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
8432,We congratulated a substantial three students.,We congratulated,three substantial a students,three substantial students,substantial three a students,three substantial students,three a students,substantial a students
8433,We congratulated a substantial three athletes.,We congratulated,three substantial an athletes,three substantial athletes,substantial three an athletes,three substantial athletes,three an athletes,substantial an athletes
8434,We congratulated a substantial three pianists.,We congratulated,three substantial a pianists,three substantial pianists,substantial three a pianists,three substantial pianists,three a pianists,substantial a pianists
8435,We congratulated a substantial three teammates.,We congratulated,three substantial a teammates,three substantial teammates,substantial three a teammates,three substantial teammates,three a teammates,substantial a teammates
8436,We congratulated a substantial three lawyers.,We congratulated,three substantial a lawyers,three substantial lawyers,substantial three a lawyers,three substantial lawyers,three a lawyers,substantial a lawyers
8437,We congratulated a substantial three doctors.,We congratulated,three substantial a doctors,three substantial doctors,substantial three a doctors,three substantial doctors,three a doctors,substantial a doctors
8438,We congratulated a substantial three actors.,We congratulated,three substantial an actors,three substantial actors,substantial three an actors,three substantial actors,three an actors,substantial an actors
8439,We congratulated a substantial three Americans.,We congratulated,three substantial an Americans,three substantial Americans,substantial three an Americans,three substantial Americans,three an Americans,substantial an Americans
8440,We congratulated a substantial three bankers.,We congratulated,three substantial a bankers,three substantial bankers,substantial three a bankers,three substantial bankers,three a bankers,substantial a bankers
8441,We congratulated a substantial five soldiers.,We congratulated,five substantial a soldiers,five substantial soldiers,substantial five a soldiers,five substantial soldiers,five a soldiers,substantial a soldiers
8442,We congratulated a substantial five students.,We congratulated,five substantial a students,five substantial students,substantial five a students,five substantial students,five a students,substantial a students
8443,We congratulated a substantial five athletes.,We congratulated,five substantial an athletes,five substantial athletes,substantial five an athletes,five substantial athletes,five an athletes,substantial an athletes
8444,We congratulated a substantial five pianists.,We congratulated,five substantial a pianists,five substantial pianists,substantial five a pianists,five substantial pianists,five a pianists,substantial a pianists
8445,We congratulated a substantial five teammates.,We congratulated,five substantial a teammates,five substantial teammates,substantial five a teammates,five substantial teammates,five a teammates,substantial a teammates
8446,We congratulated a substantial five lawyers.,We congratulated,five substantial a lawyers,five substantial lawyers,substantial five a lawyers,five substantial lawyers,five a lawyers,substantial a lawyers
8447,We congratulated a substantial five doctors.,We congratulated,five substantial a doctors,five substantial doctors,substantial five a doctors,five substantial doctors,five a doctors,substantial a doctors
8448,We congratulated a substantial five actors.,We congratulated,five substantial an actors,five substantial actors,substantial five an actors,five substantial actors,five an actors,substantial an actors
8449,We congratulated a substantial five Americans.,We congratulated,five substantial an Americans,five substantial Americans,substantial five an Americans,five substantial Americans,five an Americans,substantial an Americans
8450,We congratulated a substantial five bankers.,We congratulated,five substantial a bankers,five substantial bankers,substantial five a bankers,five substantial bankers,five a bankers,substantial a bankers
8451,We congratulated a substantial twenty soldiers.,We congratulated,twenty substantial a soldiers,twenty substantial soldiers,substantial twenty a soldiers,twenty substantial soldiers,twenty a soldiers,substantial a soldiers
8452,We congratulated a substantial twenty students.,We congratulated,twenty substantial a students,twenty substantial students,substantial twenty a students,twenty substantial students,twenty a students,substantial a students
8453,We congratulated a substantial twenty athletes.,We congratulated,twenty substantial an athletes,twenty substantial athletes,substantial twenty an athletes,twenty substantial athletes,twenty an athletes,substantial an athletes
8454,We congratulated a substantial twenty pianists.,We congratulated,twenty substantial a pianists,twenty substantial pianists,substantial twenty a pianists,twenty substantial pianists,twenty a pianists,substantial a pianists
8455,We congratulated a substantial twenty teammates.,We congratulated,twenty substantial a teammates,twenty substantial teammates,substantial twenty a teammates,twenty substantial teammates,twenty a teammates,substantial a teammates
8456,We congratulated a substantial twenty lawyers.,We congratulated,twenty substantial a lawyers,twenty substantial lawyers,substantial twenty a lawyers,twenty substantial lawyers,twenty a lawyers,substantial a lawyers
8457,We congratulated a substantial twenty doctors.,We congratulated,twenty substantial a doctors,twenty substantial doctors,substantial twenty a doctors,twenty substantial doctors,twenty a doctors,substantial a doctors
8458,We congratulated a substantial twenty actors.,We congratulated,twenty substantial an actors,twenty substantial actors,substantial twenty an actors,twenty substantial actors,twenty an actors,substantial an actors
8459,We congratulated a substantial twenty Americans.,We congratulated,twenty substantial an Americans,twenty substantial Americans,substantial twenty an Americans,twenty substantial Americans,twenty an Americans,substantial an Americans
8460,We congratulated a substantial twenty bankers.,We congratulated,twenty substantial a bankers,twenty substantial bankers,substantial twenty a bankers,twenty substantial bankers,twenty a bankers,substantial a bankers
8461,We congratulated a record-setting three soldiers.,We congratulated,three record-setting a soldiers,three record-setting soldiers,record-setting three a soldiers,three record-setting soldiers,three a soldiers,record-setting a soldiers
8462,We congratulated a record-setting three students.,We congratulated,three record-setting a students,three record-setting students,record-setting three a students,three record-setting students,three a students,record-setting a students
8463,We congratulated a record-setting three athletes.,We congratulated,three record-setting an athletes,three record-setting athletes,record-setting three an athletes,three record-setting athletes,three an athletes,record-setting an athletes
8464,We congratulated a record-setting three pianists.,We congratulated,three record-setting a pianists,three record-setting pianists,record-setting three a pianists,three record-setting pianists,three a pianists,record-setting a pianists
8465,We congratulated a record-setting three teammates.,We congratulated,three record-setting a teammates,three record-setting teammates,record-setting three a teammates,three record-setting teammates,three a teammates,record-setting a teammates
8466,We congratulated a record-setting three lawyers.,We congratulated,three record-setting a lawyers,three record-setting lawyers,record-setting three a lawyers,three record-setting lawyers,three a lawyers,record-setting a lawyers
8467,We congratulated a record-setting three doctors.,We congratulated,three record-setting a doctors,three record-setting doctors,record-setting three a doctors,three record-setting doctors,three a doctors,record-setting a doctors
8468,We congratulated a record-setting three actors.,We congratulated,three record-setting an actors,three record-setting actors,record-setting three an actors,three record-setting actors,three an actors,record-setting an actors
8469,We congratulated a record-setting three Americans.,We congratulated,three record-setting an Americans,three record-setting Americans,record-setting three an Americans,three record-setting Americans,three an Americans,record-setting an Americans
