idx,construction,corrupted_construction,corrupted_sentence
9904,a wasted three months,a three months,"A whole summer gone by , a three months ."
9905,a further two years,a two years,So I grew up in Lancashire but then moved to south - east London in the summer of 1956 though I remained at the same Blackpool boarding school for a two years .
9906,a mere 100 metres,a 100 metres,Given the status of my heart and the distance of the nearest golf club from home ( and the hospital ) I settled for lawn bowls as a retirement sport ; the green is a 100 metres from us !
9907,a whopping 105 feet,a 105 feet,"The two tops were eighty - five feet tall each , making the tree a 105 feet tall ."
9908,a full twenty feet,a twenty feet,"The top , eighty - five feet tall and over two feet in diameter , came crashing to the ground a twenty feet away from the trunk of the tree ."
9909,an additional forty acres,an forty acres,"There , they homesteaded eighty acres and bought an forty acres on which they built a log home for their family ."
9910,a good two blocks,a two blocks,"The black Ford dropped back , now staying a two blocks behind him ."
9911,a few hundred feet,a hundred feet,"With that , Mitchum removed a small sensor from his tool kit and placed it in a crack on the wall of the sewer , then turned to Askew and explained : "" If that detects anything coming or going within a hundred feet in either direction , the sensor here on my belt will vibrate ."
9912,a good two inches,a two inches,"In her three inch heels , Meryl Destrier 's pompadour , a blond version of Linda Darnell 's , topped me by a two inches ."
9913,a scant two minutes,a two minutes,So it took a two minutes to get an officer to my place .
9914,a few hundred feet,a hundred feet,"So engrossed in her thoughts she did n't notice the small group of teenage boys , a hundred feet behind her ."
9915,a few hundred feet,a hundred feet,"He brought them down a hundred feet where the air was better , and she felt safer . """
9916,a mere 10 feet,a 10 feet,"Selah glanced back at her occasional , her excitement mounting as they had managed to be a 10 feet from the stage ."
9917,a good 30 feet,a 30 feet,"She looked him over his arm was twisted maliciously and she saw bare skin at quite a few different areas , he had been scraped from the pavement she wondered how far he had flew , he was a 30 feet from his bike ."
9918,a good 25 feet,a 25 feet,""" Yeah , you were a mess , your arm was broken and you had skid along the pavement quite a ways , you were thrown from the bike a 25 feet away ."
9919,a few thousand watts,a thousand watts,"So we are looking for somewhere a thousand watts an hour would n't be missed . """
9920,a few hundred souls,a hundred souls,"It happened to be near Pinebreak Ferry , where His Excellency was in charge of a community of a hundred souls ."
9921,a good eight rounds,a eight rounds,After a eight rounds they both decided to call it a tie ... for now .
9922,a few thousand fleas,a thousand fleas,"As a people they are really of no consequence , just a thousand fleas biting at the rump of Canaan and nearby lands ."
9923,an additional ten seconds,an ten seconds,This lasts an ten seconds and the show is over .
9924,a few hundred metres,a hundred metres,"A strange sight a hundred metres away caught his eye and he stared at it for many moments , trying to identify the image , obviously the subject of last night 's visitors ."
9925,a good twenty minutes,a twenty minutes,Maria grilled Darlene for a twenty minutes about why she could n't come in .
9926,a modest 30 times,a 30 times,When laden with a 30 times their body weight they could maintain their usual walking speed for more than half an hour .
9927,a few hundred yards,a hundred yards,"An hour out John stopped and said , "" We 'll dig a snow cave here and tunnel off to the north a hundred yards before we make camp . """
9928,a full two minutes,a two minutes,"I stared at the car for a two minutes , debating escape routes and perfect murders , before the driver 's side door opened and the chauffeur , Oscar , stepped out to impart a brief precursory greeting ."
9929,a whole two hours,a two hours,"I 've been awake for a two hours . """
9930,a free five minutes,a five minutes,"Sticking ' girlfriend ' on it is just a way to make it socially acceptable for it to be public knowledge that we fu — ... had relations whenever he had a five minutes . """
9931,a good twelve hours,a twelve hours,"She had that day - spa look about her , which meant she 'd been primping for at least a twelve hours before they arrived and had the full arsenal of beauticians at hand ."
9932,a full two seconds,a two seconds,"I spared him one single cold and empty look for a two seconds , and resumed brutally shoving the poor tomes into their spaces ."
9933,an exhilarating two days,an two days,"' Thank you , Elizabeth , for a lovely evening , and an two days ."
9934,a few hundred metres,a hundred metres,"She had no plans , apart from moping around while someone she had begun to think of as a friend lay ill a hundred metres away ."
9935,a whole ten days,a ten days,"' Yes , and I 'm here for a ten days . '"
9936,a good four hours,a four hours,The room was bright with sunlight and I guessed I had been sleeping for a four hours .
9937,a couple hundred rebels,a hundred rebels,""" He only has a hundred rebels to protect the east ?"
9938,an additional five years,an five years,"The probability of an animal breeding is severely reduced by the mating ritual because it has to survive on average for an five years ( after sexual maturity ) in order to breed , and because it has to pass the "" test "" imposed by the mating ritual . ("
9939,an additional two years,an two years,"An example of how the indentured servant was viewed in 1662 , a Virginia law forced both slave and indentured servant females who bore children by their masters , to serve after their indentures for an two years for the local churchwardens , with no penalty for their masters ."
